tag,content,label,depth
html body div div div div ol  ,"北歸仁聚落行旅－趣導覽、呷辦桌、逛市集與公民論壇 透過實際參與，改變自己的家鄉。 						",1,7
html body div div div div div div div  ,2022/2/7,1,9
html body div div div div div div div  ,北歸仁聚落行旅－趣導覽、呷辦桌、逛市集與公民論壇 透過實際參與，改變自己的家鄉。,1,9
html body div div div div div div p  ,由文化部公民文化論壇補助，臺南市政府文化局主辦，北歸仁創意聚落與公民參與計畫，將從2/19(六)起連續三個週末，以《轉來紅瓦厝tshit-thô》為名，舉行導覽、辦桌、市集、論壇等活動，希望透過深入社區所帶來的擾動，可以促進在地居民參與公共事務的精神，同時凝聚對於故鄉未來的想像。,1,9
html body div div div div div div p  ,歸仁地區，一直都是總舖師的大本營，而北歸仁更是一次擁有三位知名的總舖師的寶地，2/19(六)邀請到總舖師蘇嘉進來為我們獻上他的手路菜，辦桌文化體驗，由王浩一老師進行講菜，在上菜的過程中，也介紹這道菜背後的故事，歡迎來吃一場文化饗宴的辦桌，讓你吃飽長知識。,1,9
html body div div div div div div p  ,2/20(日)起，周末連續三場不同主題的深度導覽，一起跳上聚落行旅專車，探索這裡豐富且有趣的文化、歷史、建築與產業發展，深入北歸仁七甲里與媽廟里的大街小巷，讓你重新認識北歸仁，相關活動已開放報名。2/20(日)由公共電視《浩克慢遊》主持人──王浩一，擔任導覽員，會帶領大家認識在地重要的信仰，也針對在地生活歷史進行整理，了解從鄭氏時期以來的開墾歷史與樣貌，目前該場次已額滿。2/26(六)日光暖暖旅行文化工作室的王語羚老師，帶大家拜訪歸仁在地的青農，體驗「控窯」的樂趣，並參觀與農業發展息息相關的歸仁農會種子庫與土礱間，認識農作物從產地一路到製造，成為農產品的過程。3/5(六)周春丞老師，用臺南獨有的慢活態度，邀請您一起搭上紅瓦厝專車，從建築窺見歷史的痕跡，也在紅瓦厝的巷弄間，體驗巷仔內生活的趣味。,1,9
html body div div div div div div p  ,三條不同主題的路線，從信仰、農業與建築等不同的角度切入，發現北歸仁的不同於南歸仁的獨特風景與歷史發展脈絡。,1,9
html body div div div div div div p  ,如果你是不按牌理出牌，喜歡自由行的人，3/5(六)、3/6(日)巷弄特色市集，絕對是你踏上探險之路的好機會，市集活動當天，邀請到外地與在地的攤商，從手作、植栽、攝影到零嘴，應有盡有。除此之外，3/5(六)適逢二十四節氣的驚蟄，邀請到有時甘杯主理人──黃筱蒨，為大家準備了與節氣、與土地呼應的節氣茶席。而身在一個物產豐隆的地方，當然要好好的利用先天的優勢，邀請到單子葉私廚餐廳的主廚──詹珀凰，以一碗歸仁的概念，利用歸仁在地青農所種植的食材入菜，舉辦從產地到餐桌無碳足跡的零碳餐桌，歡迎大家一起用味蕾，認識北歸仁。,1,9
html body div div div div div div p  ,最後，3/12(六)將會邀請到成大創研所副教授楊佳翰，以世界咖啡館的形式，邀請專家學者、在地居民與對於北歸仁聚落發展有興趣的人士，一同對話，也討論這次深入社區擾動的經驗，思考社區的未來與想像，同時凝聚共識，唯有在公民親身參與的努力下，眾志才能成城，並發展出更多的可能性。,1,9
html body div div div div div div p  ,從辦桌、導覽、市集到公民論壇都充滿了不同的趣味與驚喜，歡迎對歷史文化、地方發展、公民參與有興趣，或是單純想要體驗北歸仁特色遊程的朋友們攜家帶眷一起來參加，這次，不當旅人，做一個「歸人」，轉來紅瓦厝tshit-thô。,1,9
html body div div div div div div div  ,【報名申請】,1,9
html body div div div div div div div ul li p  ,人數,1,12
html body div div div div div div div ul li p  ,活動費用,1,12
html body div div div div div div div ul li p  ,付費,1,12
html body div div div div div div div ul li p  ,活動類型,1,12
html body div div div div div div div ul li p  ,活動對象,1,12
html body div div div div div div div ul li p  ,200元/300元,1,12
html body div div div div div div div ul li p  ,活動時間,1,12
html body div div div div div div div ul li p  ,2022-02-19 ～ 2022-03-12,1,12
html body div div div div div div div ul li p  ,地點名稱,1,12
html body div div div div div div div ul li p  ,辦理單位,1,12
html body div div div div div div div ul li p  ,活動網址/活動資訊,1,12
html body div div div div div div div ul li p a  ,連結,1,13
html body div div div div div div a  ,回上一頁,0,9
html body div div div div div div  ,"																	活動總覽",0,8
html body div div div div div div span  ,Events,0,9
html body div div div div div div ul li a  ,講座/課程,0,11
html body div div div div div div ul li a  ,市集,0,11
html body div div div div div div ul li a  ,課程,0,11
html body div div div div div div ul li a  ,展演,0,11
html body div div div div div div ul li a  ,講座,0,11
html body div div div div div div form label  ,日期範圍搜尋,0,10
html body div div div div div div form div span  ,到,0,11
html body div footer div div div h2  ,文創PLUS 臺南創意中心,0,8
html body div footer div div div p  ,台南市中西區府前路一段197號,0,8
html body div footer div div div p  ,TEL: 06-214-9510,0,8
html body div footer div div div p  ,FAX: 06-214-5760,0,8
html body div footer div div div p  ,開館時間,0,8
html body div footer div div div p span  ,09:00-17:00,0,9
html body div footer div div div p  ,休館日：,0,8
html body div footer div div div p span  ,小年夜、除夕休館二天,0,9
html body div footer div div div p  ,本中心免費參觀,0,8
html body div footer div div ul li a  ,Facebook,0,9
html body div footer div div ul li a  ,Line@,0,9
html body div footer div div div  ,2911414,0,7
html body div footer div div div  ,Copyright © 臺南市政府文化局. Designed by,0,7
html body div footer div div div a  ,E-SHOW,0,8
