tag,content,label,depth
html body div section div div aside div section div div div div div ul li a  ,keynes LI,0,17
html body div section div div aside div section div div div div div ul li span p  ,總之就一句話 大餅都是我的 一份都不給你,0,18
html body div section div div aside div section div div div div div ul li span p  ,只準我反清復明 不准你阿彌陀佛,0,18
html body div section div div aside div section div div div div div ul li p a  ,前核能管理委員會官員：核能對抗氣候變遷不可行,0,18
html body div section div div aside div section div div div div div ul li p  ,·,0,17
html body div section div div aside div section div div div div div ul li p a  ,1 day ago,0,18
html body div section div div aside div section div div div div div ul li a  ,ski huang,0,17
html body div section div div aside div section div div div div div ul li span p  ,危言耸听。,0,18
html body div section div div aside div section div div div div div ul li span p  ,那里来这么多钱去支应？,0,18
html body div section div div aside div section div div div div div ul li span p  ,企业创造营收，,0,18
html body div section div div aside div section div div div div div ul li span p  ,也是间接一直在耗能与制造污染，,0,18
html body div section div div aside div section div div div div div ul li p a  ,麥肯錫：淨零需要全球經濟徹底轉型,0,18
html body div section div div aside div section div div div div div ul li p  ,·,0,17
html body div section div div aside div section div div div div div ul li p a  ,1 day ago,0,18
html body div section div div aside div section div div div div div ul li a  ,ski huang,0,17
html body div section div div aside div section div div div div div ul li span p  ,明知山有虎，偏往虎山行。,0,18
html body div section div div aside div section div div div div div ul li p a  ,地熱發電面臨酸蝕、結垢問題 未妥善維運 發電量恐逐年衰減,0,18
html body div section div div aside div section div div div div div ul li p  ,·,0,17
html body div section div div aside div section div div div div div ul li p a  ,1 day ago,0,18
html body div section div div aside div section div div div div div ul li a  ,張 為元,0,17
html body div section div div aside div section div div div div div ul li span p  ,放屁，零碳排又能穩定供電的就只有核能而已,0,18
html body div section div div aside div section div div div div div ul li p a  ,前核能管理委員會官員：核能對抗氣候變遷不可行,0,18
html body div section div div aside div section div div div div div ul li p  ,·,0,17
html body div section div div aside div section div div div div div ul li p a  ,1 day ago,0,18
html body div section div div aside div section div div div div div ul li a  ,林芸,0,17
html body div section div div aside div section div div div div div ul li span p  ,其實,0,18
html body div section div div aside div section div div div div div ul li span p a  ,比特幣,0,19
html body div section div div aside div section div div div div div ul li span p  ,是本人不熟的領域,0,18
html body div section div div aside div section div div div div div ul li span p  ,不過如果能夠利用這個來投資,0,18
html body div section div div aside div section div div div div div ul li span p  ,效益不曉得怎麼樣？,0,18
html body div section div div aside div section div div div div div ul li p a  ,加密貨幣對環境有害無利？從氣候變遷觀點看區塊鏈和加密貨幣的永續性,0,18
html body div section div div aside div section div div div div div ul li p  ,·,0,17
html body div section div div aside div section div div div div div ul li p a  ,1 week ago,0,18
html body div section div div aside div section div div div div div h3  ,Most Discussed,0,15
html body div section div div aside div section div div div div div ul li a  ,前核能管理委員會官員：核能對抗氣候變遷不可行,0,17
html body div section div div aside div section div div div div div ul li p  ,comment · 1 day ago,0,17
html body div section div div aside div section div div div div div ul li a  ,麥肯錫：淨零需要全球經濟徹底轉型,0,17
html body div section div div aside div section div div div div div ul li p  ,comment · 1 day ago,0,17
html body div section div div aside div section div div div div div ul li a  ,地熱發電面臨酸蝕、結垢問題 未妥善維運 發電量恐逐年衰減,0,17
html body div section div div aside div section div div div div div ul li p  ,comment · 1 day ago,0,17
html body div section div div aside div section div div div div div ul li a  ,加密貨幣對環境有害無利？從氣候變遷觀點看區塊鏈和加密貨幣的永續性,0,17
html body div section div div aside div section div div div div div ul li p  ,comment · 1 week ago,0,17
html body div section div div aside div section div div div div div ul li a  ,通霄電廠擬增設小型燃氣機組 環評初審要求補充空污減量計畫,0,17
html body div section div div aside div section div div div div div ul li p  ,comment · 2 weeks ago,0,17
html body div section div div aside div div div div div  ,目前累計總共有,0,12
html body div section div div aside div div div div div  ,個綠行動,0,12
html body div footer div div div div div div div div div div p  ,★ 依議題類別瀏覽 |,0,15
html body div footer div div div div div div div div div div p a  ,環境政策,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,生活環保,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,公害污染,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,動物福利,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,環境經濟,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,生態保育,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p  ,★ 依議題類別瀏覽 |,0,15
html body div footer div div div div div div div div div div p a  ,能源議題,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,生物科技,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,全球暖化,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,土地水文,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,永續發展,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,環境哲學,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p  ,★ 依專欄類別瀏覽 |,0,15
html body div footer div div div div div div div div div div p a  ,最新專題,0,16
html body div footer div div div div div div div div div div p  ,│,0,15
html body div footer div div div div div div div div div div p a  ,濕地故事,0,16
html body div footer div div div div div div div div div div p  ,│,0,15
html body div footer div div div div div div div div div div p a  ,與野共生,0,16
html body div footer div div div div div div div div div div p  ,│,0,15
html body div footer div div div div div div div div div div p a  ,生物多樣性,0,16
html body div footer div div div div div div div div div div p  ,│,0,15
html body div footer div div div div div div div div div div p a  ,綠色消費,0,16
html body div footer div div div div div div div div div div p  ,│,0,15
html body div footer div div div div div div div div div div p  ,maintained by,0,15
html body div footer div div div div div div div div div div p a  ,TEIA,0,16
html body div footer div div div div div div div div div div p  ,/ powered by,0,15
html body div footer div div div div div div div div div div p a  ,drupal,0,16
html body div footer div div div div div div div div div div p  ,/ enhanced by,0,15
html body div footer div div div div div div div div div div p a  ,NETivism,0,16
